zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,3,23,307,44,4,False,2.2399516143428513
94102,2017,11,4,0,308,44,5,True,1.1966996115824122
94102,2017,11,4,1,308,44,5,True,1.2303829663656272
94102,2017,11,4,2,308,44,5,True,1.2650144023368621
94102,2017,11,4,3,308,44,5,True,1.3006206050191254
94102,2017,11,4,4,308,44,5,True,1.3372290110495153
94102,2017,11,4,5,308,44,5,True,1.3748678293207341
94102,2017,11,4,6,308,44,5,True,1.4135660627176703
94102,2017,11,4,7,308,44,5,True,1.4533535304657976
94102,2017,11,4,8,308,44,5,True,1.494260891108612
94102,2017,11,4,9,308,44,5,True,1.536319666131811
94102,2017,11,4,10,308,44,5,True,1.579562264252421
94102,2017,11,4,11,308,44,5,True,1.6240220063915856
94102,2017,11,4,12,308,44,5,True,1.669733151350263
94102,2017,11,4,13,308,44,5,True,1.71673092220761
94102,2017,11,4,14,308,44,5,True,1.7650515334624024
94102,2017,11,4,15,308,44,5,True,1.814732218938398
94102,2017,11,4,16,308,44,5,True,1.86581126047515
94102,2017,11,4,17,308,44,5,True,1.9183280174263775
94102,2017,11,4,18,308,44,5,True,1.9723229569886223
94102,2017,11,4,19,308,44,5,True,2.027837685383562
94102,2017,11,4,20,308,44,5,True,2.0849149799180093
94102,2017,11,4,21,308,44,5,True,2.143598821946299
94102,2017,11,4,22,308,44,5,True,2.2039344307604636
94102,2017,11,4,23,308,44,5,True,2.2659682984343106
94102,2017,11,5,0,309,44,6,True,1.2024034927523417
94102,2017,11,5,1,309,44,6,True,1.2362473939677847
94102,2017,11,5,2,309,44,6,True,1.271043895251661
94102,2017,11,5,3,309,44,6,True,1.3068198093193435
94102,2017,11,5,4,309,44,6,True,1.343602703580361
94102,2017,11,5,5,309,44,6,True,1.381420921380683
94102,2017,11,5,6,309,44,6,True,1.4203036038429033
94102,2017,11,5,7,309,44,6,True,1.4602807123211612
94102,2017,11,5,8,309,44,6,True,1.5013830514880961
94102,2017,11,5,9,309,44,6,True,1.5436422930716278
94102,2017,11,5,10,309,44,6,True,1.587091000259853
94102,2017,11,5,11,309,44,6,True,1.6317626527928653
94102,2017,11,5,12,309,44,6,True,1.6776916727608282
94102,2017,11,5,13,309,44,6,True,1.7249134511281863
94102,2017,11,5,14,309,44,6,True,1.773464375004449
94102,2017,11,5,15,309,44,6,True,1.8233818556825596
94102,2017,11,5,16,309,44,6,True,1.874704357466461
94102,2017,11,5,17,309,44,6,True,1.9274714273100642
94102,2017,11,5,18,309,44,6,True,1.9817237252904614
94102,2017,11,5,19,309,44,6,True,2.037503055938866
94102,2017,11,5,20,309,44,6,True,2.094852400453421
94102,2017,11,5,21,309,44,6,True,2.1538159498186937
94102,2017,11,5,22,309,44,6,True,2.214439138857386
94102,2017,11,5,23,309,44,6,True,2.2767686812404904
94102,2017,11,6,0,310,45,0,False,1.1462881782983532
94102,2017,11,6,1,310,45,0,False,1.178552608753355
94102,2017,11,6,2,310,45,0,False,1.211725182110198
94102,2017,11,6,3,310,45,0,False,1.245831459753928
94102,2017,11,6,4,310,45,0,False,1.2808977225427098
94102,2017,11,6,5,310,45,0,False,1.3169509910587471
