DATE,AWND,PRCP,TAVG,TMAX,TMIN
2014-06-15,14.138,0.0,57.46153846153846,73.48387096774194,51.03225806451613
2014-06-16,15.124,0.0,54.76923076923077,66.6875,50.84375
2014-06-17,7.872,0.0,62.07692307692308,74.1875,48.5
2014-06-18,7.784000000000001,0.0,69.61538461538461,82.09375,53.0
2014-06-19,9.844,0.0,64.46153846153847,79.12903225806451,51.903225806451616
2014-06-20,9.886,0.0,65.23076923076923,79.12903225806451,52.87096774193548
2014-06-21,10.962,0.0,60.0,72.96666666666667,52.733333333333334
2014-06-22,11.675999999999998,0.0,59.38461538461539,73.38709677419355,50.70967741935484
2014-06-23,10.648,0.0,62.53846153846154,75.93548387096774,51.25806451612903
2014-06-24,11.722,0.0,63.38461538461539,74.8125,54.40625
2014-06-25,12.928,0.008214285714285714,59.0,70.55172413793103,53.93103448275862
2014-06-26,11.632,0.007241379310344827,60.53846153846154,70.66666666666667,55.766666666666666
2014-06-27,10.78,0.0007142857142857143,62.0,73.7,54.666666666666664
2014-06-28,11.006,0.0010714285714285715,62.916666666666664,76.16129032258064,54.74193548387097
2014-06-29,7.965999999999999,0.00018867924528301886,71.33333333333333,85.03333333333333,54.733333333333334
2014-06-30,8.142,0.0,76.91666666666667,88.61290322580645,58.774193548387096
2014-07-01,10.290000000000001,0.0,63.333333333333336,77.3225806451613,54.903225806451616
2014-07-02,11.946000000000002,0.00018181818181818183,62.0,75.73333333333333,54.6
2014-07-03,11.185999999999998,0.0,64.0,76.0,54.333333333333336
2014-07-04,9.258000000000001,0.0,65.5,77.0,54.766666666666666
2014-07-05,8.052,0.00037037037037037035,67.5,79.9,54.166666666666664
2014-07-06,9.576,0.0,69.33333333333333,80.83333333333333,54.86666666666667
2014-07-07,7.918000000000001,0.0,68.91666666666667,80.27586206896552,56.172413793103445
2014-07-08,9.216,0.000925925925925926,66.16666666666667,76.46666666666667,56.36666666666667
2014-07-09,9.347999999999999,0.0012962962962962965,61.53846153846154,74.7741935483871,55.483870967741936
2014-07-10,10.872,0.0,60.69230769230769,73.29032258064517,56.12903225806452
2014-07-11,12.392000000000001,0.004629629629629629,60.15384615384615,71.7,56.06666666666667
2014-07-12,11.498000000000001,0.0,61.07692307692308,73.63333333333334,54.96666666666667
2014-07-13,9.440000000000001,0.0005769230769230769,66.92307692307692,79.3,54.13333333333333
2014-07-14,8.190000000000001,0.0005660377358490566,73.76923076923077,83.93548387096774,59.29032258064516
2014-07-15,10.559999999999999,0.0,66.38461538461539,80.03225806451613,57.74193548387097
2014-07-16,12.483999999999998,0.004482758620689655,63.07692307692308,75.80645161290323,58.74193548387097
2014-07-17,12.08,0.003636363636363636,61.84615384615385,72.58064516129032,58.0
2014-07-18,11.05,0.004035087719298246,61.69230769230769,72.43333333333334,57.86666666666667
2014-07-19,10.202,0.0003846153846153846,64.07692307692308,76.93333333333334,58.0
2014-07-20,10.422,0.00017543859649122808,62.38461538461539,74.29032258064517,58.225806451612904
2014-07-21,10.872,0.0008771929824561404,63.07692307692308,73.13333333333334,59.36666666666667
2014-07-22,10.292,0.01063492063492064,63.30769230769231,74.83870967741936,58.064516129032256
2014-07-23,9.354,0.0019298245614035089,65.6923076923077,76.41935483870968,59.32258064516129
2014-07-24,8.186,0.0,71.76923076923077,86.2,57.5
2014-07-25,6.889999999999999,0.0001923076923076923,79.07692307692308,92.09677419354838,61.87096774193548
2014-07-26,9.218,0.000925925925925926,75.61538461538461,88.54838709677419,60.32258064516129
2014-07-27,9.709999999999999,0.0,73.3076923076923,86.66666666666667,59.96666666666667
2014-07-28,9.888,0.0,69.0,81.61290322580645,58.645161290322584
2014-07-29,9.842,0.0,71.53846153846153,83.86666666666666,58.86666666666667
2014-07-30,10.022000000000002,0.0,71.0,82.43333333333334,58.93333333333333
2014-07-31,9.038,0.000588235294117647,71.38461538461539,82.41379310344827,58.48275862068966
2014-08-01,9.216,0.0,73.07692307692308,82.90625,59.125
2014-08-02,10.559999999999999,0.00017857142857142857,64.92307692307692,76.93548387096774,56.806451612903224
2014-08-03,10.246,0.0005357142857142857,60.92307692307692,74.15625,56.21875
2014-08-04,8.768,0.00017857142857142857,61.15384615384615,73.61290322580645,56.41935483870968
2014-08-05,6.578,0.017096774193548388,65.3076923076923,75.1875,57.53125
2014-08-06,8.544,0.005333333333333333,70.3076923076923,80.09375,59.53125
2014-08-07,9.216,0.0,65.84615384615384,77.75,58.03125
2014-08-08,10.468,0.0,66.23076923076923,78.9375,56.59375
2014-08-09,13.332000000000003,0.0,60.53846153846154,74.25806451612904,54.70967741935484
2014-08-10,8.142,0.00036363636363636367,61.23076923076923,74.875,54.96875
2014-08-11,8.408000000000001,0.0,65.38461538461539,78.6774193548387,56.45161290322581
2014-08-12,9.976,0.0,62.0,75.3225806451613,56.67741935483871
2014-08-13,9.484,0.0,63.84615384615385,76.9375,55.40625
2014-08-14,8.546000000000001,0.0005357142857142857,66.3076923076923,78.375,56.84375
2014-08-15,8.456,0.00018181818181818183,67.0,80.28125,57.09375
2014-08-16,8.098,0.0,66.76923076923077,80.0,56.75
2014-08-17,8.68,0.0,64.84615384615384,78.41935483870968,54.903225806451616
2014-08-18,10.424000000000001,0.0028070175438596493,61.53846153846154,74.40625,56.15625
2014-08-19,9.883999999999999,0.006724137931034483,60.84615384615385,72.9375,56.59375
2014-08-20,10.290000000000001,0.00037037037037037035,61.07692307692308,70.64516129032258,58.38709677419355
2014-08-21,8.322,0.0,65.76923076923077,77.96875,57.6875
2014-08-22,9.35,0.00018181818181818183,63.53846153846154,77.29032258064517,57.29032258064516
2014-08-23,7.4719999999999995,0.0,63.46153846153846,77.2258064516129,55.96774193548387
2014-08-24,10.022,0.0,62.53846153846154,75.59375,56.25
2014-08-25,10.022000000000002,0.0,60.69230769230769,72.66666666666667,57.3
2014-08-26,8.5,0.0,64.53846153846153,77.06451612903226,56.645161290322584
2014-08-27,8.5,0.0,68.61538461538461,82.125,57.375
2014-08-28,8.498,0.0,67.84615384615384,82.7741935483871,57.193548387096776
2014-08-29,7.741999999999999,0.0,66.0,79.625,57.5625
2014-08-30,8.948,0.0,70.38461538461539,81.87096774193549,59.45161290322581
2014-08-31,8.902000000000001,0.0,68.76923076923077,82.5625,57.75
2014-09-01,6.845999999999999,0.0,73.53846153846153,87.3225806451613,58.516129032258064
2014-09-02,9.484,0.0,64.92307692307692,79.03125,57.15625
2014-09-03,8.098,0.0,64.15384615384616,77.71875,57.6875
2014-09-04,7.874,0.0,64.6923076923077,77.6774193548387,57.61290322580645
2014-09-05,8.41,0.0,62.53846153846154,75.78125,57.03125
2014-09-06,8.724,0.0,62.07692307692308,76.15625,55.6875
2014-09-07,9.038,0.0,61.38461538461539,75.3125,54.09375
2014-09-08,10.648,0.0,58.07692307692308,71.375,53.84375
2014-09-09,7.25,0.0,64.15384615384616,76.15625,53.71875
2014-09-10,4.92,0.0,72.92307692307692,86.9375,56.4375
2014-09-11,6.8,0.00017857142857142857,75.61538461538461,87.75,59.15625
2014-09-12,7.248,0.0,75.07692307692308,85.84375,59.28125
2014-09-13,8.098,0.0,71.15384615384616,84.125,58.625
2014-09-14,8.278,0.0,68.84615384615384,80.9375,57.3125
